,Log2_Ratio,Mean_DNA,Mean_RNA
Pathway_056_Metabolism_Process,0.7506845368941641,10536.959210890178,17730.075379497735
Pathway_042_Metabolism_Process,0.7177900134111849,5673.240712136163,9331.200911431399
Pathway_039_Metabolism_Process,0.6701963310858519,2969.454606079388,4725.853241331304
Pathway_142_Metabolism_Process,0.6655933728322843,3092.830845193301,4906.498043785943
Pathway_120_Metabolism_Process,0.6496400557035552,6454.158469290012,10125.702498307146
Pathway_031_Metabolism_Process,0.6094112106639044,1152.3956723367132,1758.6624705700974
Pathway_048_Metabolism_Process,0.5889071492928935,5997.440291245737,9021.295702100553
Pathway_131_Metabolism_Process,0.5297178882544218,2285.2643375829184,3299.558355055681
Pathway_004_Metabolism_Process,0.46449849347223077,2184.4998388095373,3014.634882660002
Pathway_099_Metabolism_Process,0.4031155291359454,983.9055394928621,1301.4001755553313
Pathway_072_Metabolism_Process,0.3578112324867144,725.8288398055874,930.4167957917837
Pathway_022_Metabolism_Process,0.2924885059287752,4207.57975905521,5153.462398382015
Pathway_074_Metabolism_Process,0.18182106905867698,4829.253055003863,5478.027490735229
Pathway_081_Metabolism_Process,0.12182141936106995,3469.3032864812662,3775.06388163301
Pathway_006_Metabolism_Process,0.07741949419115898,1974.5335226294774,2083.4428556600997
Pathway_023_Metabolism_Process,0.06089781790046415,1498.601369700921,1563.256247846506
Pathway_017_Metabolism_Process,0.05656360816935381,1387.8616580067605,1443.3961805036256
Pathway_014_Metabolism_Process,-0.008821742609853332,2099.104215484722,2086.301751520863
Pathway_126_Metabolism_Process,-0.02138561599753924,7650.863624568856,7538.273689983053
Pathway_130_Metabolism_Process,-0.03189221345377812,11344.320668248592,11096.272807977119
Pathway_084_Metabolism_Process,-0.07150372242487787,4717.166442233236,4489.022239672024
Pathway_053_Metabolism_Process,-0.08632785804906788,5734.467888767287,5401.335827183475
Pathway_054_Metabolism_Process,-0.15348216695047456,9475.109598717394,8518.759569220434
Pathway_112_Metabolism_Process,-0.18965106082428285,8952.084152799922,7849.223265886997
Pathway_029_Metabolism_Process,-0.25895623293445835,5070.694492428884,4237.37609081052
Pathway_114_Metabolism_Process,-0.34620182456288634,4917.485958007538,3868.138732113054
Pathway_088_Metabolism_Process,-0.3488078624134854,3415.751445434629,2681.944924139484
Pathway_069_Metabolism_Process,-0.413919750887019,1416.8710322092784,1063.2274801282965
Pathway_102_Metabolism_Process,-0.45313784537758395,2164.2007544929584,1580.5760731055668
Pathway_066_Metabolism_Process,-0.4739296302524229,4374.458591221341,3149.333587970864
Pathway_093_Metabolism_Process,-0.4862598420453969,3789.026714926502,2704.5992699407307
Pathway_109_Metabolism_Process,-0.4962203931687499,4461.891005657848,3163.018817047796
Pathway_110_Metabolism_Process,-0.6292293247370332,4332.082633629199,2800.431904631623
Pathway_047_Metabolism_Process,-0.6347400995463012,12570.608400181482,8095.830262648644
Pathway_049_Metabolism_Process,-0.696966077311676,2802.490091237776,1728.383576261947
Pathway_083_Metabolism_Process,-0.7260710044066282,7572.837269579804,4577.748805619669
Pathway_137_Metabolism_Process,-0.7484350045772562,4983.706186375417,2966.140958306889
Pathway_037_Metabolism_Process,-0.750030117243367,5152.3711666991985,3063.148861978364
Pathway_150_Metabolism_Process,-0.7589771086932473,5394.0868795602655,3187.038569838499
Pathway_012_Metabolism_Process,-0.7647068899219515,7605.454920576407,4475.953504385017
Pathway_005_Metabolism_Process,-0.8273438830021778,3378.0815148969455,1903.334971977008
Pathway_134_Metabolism_Process,-0.9242428829565037,1144.7013738063229,602.7353462934947
Pathway_016_Metabolism_Process,-0.9311699481814438,10668.355490532966,5594.360853523782
Pathway_038_Metabolism_Process,-0.9316307421900445,12888.92740083544,6756.743026278536
Pathway_028_Metabolism_Process,-0.9342753747086496,3105.845057343822,1624.8283153360699
Pathway_121_Metabolism_Process,-0.9752926601822755,5819.912458570039,2959.729443679106
Pathway_032_Metabolism_Process,-1.0236466930535966,3301.000018067608,1623.1596308870357
Pathway_030_Metabolism_Process,-1.0556596021671039,5961.2948868993535,2867.3242614810206
Pathway_050_Metabolism_Process,-1.097127656875005,39346.03788497181,18391.624720258886
Pathway_010_Metabolism_Process,-1.1002801679551952,2861.951785506074,1334.3548865948087
Pathway_076_Metabolism_Process,-1.124594174630848,10605.604999975378,4863.518015300315
Pathway_061_Metabolism_Process,-1.1482257905095934,6521.584349233686,2941.8579489275853
Pathway_015_Metabolism_Process,-1.1524085486752422,5169.246389881551,2324.957096251487
Pathway_107_Metabolism_Process,-1.1726534810518543,6536.374673117269,2899.0100560281035
Pathway_044_Metabolism_Process,-1.1870767525173687,5743.788239909756,2522.064279171039
Pathway_108_Metabolism_Process,-1.272096171259303,8714.532425068803,3607.733556957498
Pathway_100_Metabolism_Process,-1.302992182121172,695.3428744345654,281.2171520625259
Pathway_095_Metabolism_Process,-1.329047708083955,5294.026840128297,2106.5842287968735
Pathway_003_Metabolism_Process,-1.4077554013069844,4046.453744975871,1524.4756927970743
Pathway_078_Metabolism_Process,-1.440790332741193,3681.8039662141055,1355.6177484320938
Pathway_024_Metabolism_Process,-1.4723350676551565,6981.355483049119,2515.4304785780723
Pathway_021_Metabolism_Process,-1.47626620891105,843.8704398862759,302.6614803784722
Pathway_133_Metabolism_Process,-1.4887470478234361,6067.398572540767,2161.303145932632
Pathway_059_Metabolism_Process,-1.4949575048511416,22432.287472012104,7958.134987965709
Pathway_065_Metabolism_Process,-1.5483569154915058,2982.2472822641967,1018.9699527718212
Pathway_106_Metabolism_Process,-1.5613751138331968,2852.0417689364795,965.690356289612
Pathway_139_Metabolism_Process,-1.5639536460641763,4536.30030213178,1533.618978539721
Pathway_086_Metabolism_Process,-1.636193674546567,1747.0201955684279,561.3453018471987
Pathway_040_Metabolism_Process,-1.6478265512184833,4760.138596799872,1518.3771978239356
Pathway_105_Metabolism_Process,-1.662630068898003,2316.9590068773005,731.1570165758314
Pathway_082_Metabolism_Process,-1.7504767031851256,3928.6597846937966,1166.9088732738446
Pathway_111_Metabolism_Process,-1.7805841291873343,10745.012457807832,3126.7937465556897
Pathway_002_Metabolism_Process,-1.8300047160570694,7175.871888950867,2017.593554412214
Pathway_045_Metabolism_Process,-1.8560087712253244,20713.84166181999,5721.256296147101
Pathway_125_Metabolism_Process,-2.0017202915565573,1716.9874349368934,427.9850253530136
Pathway_001_Metabolism_Process,-2.0370604174806854,5329.241326144681,1297.7650209938956
Pathway_071_Metabolism_Process,-2.0553060541438337,10164.305854545426,2444.7478346340104
Pathway_077_Metabolism_Process,-2.0733762462761045,3837.2858782433455,910.9874788979914
Pathway_140_Metabolism_Process,-2.098936702957459,2007.3720154372618,467.8147365903617
Pathway_034_Metabolism_Process,-2.1874840267897993,2370.5962243234917,519.6458885104091
Pathway_079_Metabolism_Process,-2.2013195036957653,4144.50488972954,900.3931037104408
Pathway_122_Metabolism_Process,-2.2726720737819144,2947.479450374861,609.1767294513593
Pathway_147_Metabolism_Process,-2.274161177337642,18709.81117601721,3867.13735030949
Pathway_070_Metabolism_Process,-2.3053699494068174,2404.486502751587,485.65077410373806
Pathway_136_Metabolism_Process,-2.3346641601481166,22503.838392907004,4460.4081531974225
Pathway_117_Metabolism_Process,-2.392522849535657,6902.045624972247,1313.6786216258943
Pathway_068_Metabolism_Process,-2.4190696093635067,16729.953604993134,3127.2984601068783
Pathway_092_Metabolism_Process,-2.5109197360375393,10384.971963836419,1821.1536220566245
Pathway_089_Metabolism_Process,-2.5401998893890707,17083.387679230273,2936.1292356873864
Pathway_067_Metabolism_Process,-2.5555975996861537,13075.5308103752,2223.2367241012334
Pathway_080_Metabolism_Process,-2.5666331958909296,24422.580503764475,4121.643222241517
Pathway_135_Metabolism_Process,-2.5788360686373,18562.204252983975,3106.033477747356
Pathway_149_Metabolism_Process,-2.5794479554286895,13983.811695436583,2338.7282358614966
Pathway_026_Metabolism_Process,-2.6678745433808957,4415.176407906538,693.9221443484171
Pathway_115_Metabolism_Process,-2.6888823797702464,5513.863642882434,854.2646611266297
Pathway_057_Metabolism_Process,-2.718937763405602,4980.1569879724375,755.5687628367883
Pathway_064_Metabolism_Process,-2.7688851977440554,1623.8245602939082,237.39051728927063
Pathway_025_Metabolism_Process,-2.9771602278703826,6225.973533225468,789.7924045750888
Pathway_073_Metabolism_Process,-3.0079518852543714,3349.4925924543195,415.5095073050081
Pathway_098_Metabolism_Process,-3.1420384648189885,7528.221183219373,851.9080825419678
Pathway_011_Metabolism_Process,-3.3639823271653904,8686.940314310574,842.8344336760895
Pathway_091_Metabolism_Process,-3.5927468656644157,5195.719540791455,429.72958816559765
Pathway_060_Metabolism_Process,-3.6104148495497137,2708.2874107487564,220.82572645479706
Pathway_132_Metabolism_Process,-3.820486596764799,11599.590766277437,820.1056543568711
Pathway_063_Metabolism_Process,-3.8601280437536616,6045.094674735172,415.35196162782296
Pathway_104_Metabolism_Process,-3.9904470737744475,50236.173802218356,3159.682951944488
Pathway_051_Metabolism_Process,-4.089775421256345,11407.128265789404,668.9915388468872
Pathway_094_Metabolism_Process,-4.209866813836361,15242.76695956619,822.7512983644776
Pathway_090_Metabolism_Process,-4.283603789537456,10227.367721010229,524.1859544328079
Pathway_128_Metabolism_Process,-4.577370863619979,12411.050633410658,518.8973542702677
Pathway_035_Metabolism_Process,-4.624466687669146,15377.068754271002,622.4456676226
Pathway_075_Metabolism_Process,-4.751734096015194,18708.794579336718,693.4716555325227
Pathway_007_Metabolism_Process,-5.297539555580907,5652.6379894166275,142.7506069612209
Pathway_041_Metabolism_Process,-5.375959139156864,5944.360040246151,142.17038851592474
Pathway_141_Metabolism_Process,-5.559927081877317,15967.661075869524,337.5039010527777
Pathway_101_Metabolism_Process,-6.000337922355353,3925.531894859273,60.33769205125532
Pathway_008_Metabolism_Process,-6.1593030846176395,20331.958936481846,283.4890812345626
Pathway_119_Metabolism_Process,-6.428080249777219,14070.008036351617,162.41060630238002
Pathway_058_Metabolism_Process,-6.705622390317054,10373.207656707084,98.39429503454332
