,DNA_Abundance,RNA_Activity,Activity_Score,Log2_Ratio
Vibrio sp. strain_083,0.07782235194069886,0.43932585572662486,5.002437830670661,2.3551020053707568
Nitrosopumilus sp. strain_093,0.17742987762006104,0.8322843660081142,4.440510640972819,2.1679564409799608
Shewanella sp. strain_088,0.07351240011557858,0.3665217429587986,4.3888301911038825,2.172670845128666
Roseobacter sp. strain_112,0.5841735559259943,2.5934276160822773,4.364764453444129,2.1314559919317873
Pseudomonas sp. strain_033,0.14492248983779218,0.6302427081688989,4.068116313059384,2.047072323873761
Planctomyces sp. strain_025,0.026516796740493537,0.1459414151669996,3.9965557823741125,2.0943720096131337
Alteromonas sp. strain_109,0.04221283783758291,0.18631404150095227,3.5683569255613805,1.9106868879450367
Marinobacter sp. strain_008,0.2889699223383577,0.9818760284762154,3.2841966870666743,1.7301594634890098
Pseudomonas sp. strain_114,0.3812780447949584,1.2293122499318083,3.1417869371536176,1.6632736605453715
Bacteroides sp. strain_018,0.27740497364660865,0.8543139161290529,2.972509157686018,1.5884703615540985
Pseudomonas sp. strain_087,0.24603969223957894,0.7605398214568171,2.970398123839222,1.5895020374755486
Prochlorococcus sp. strain_038,1.0789722070958592,3.215550020516978,2.9528302004074214,1.5665780558935325
SAR11 sp. strain_015,0.22443721487207507,0.6319253894253111,2.6954994742201346,1.4532040203270495
Sphingomonas sp. strain_046,0.12937484024598894,0.3728775007491586,2.67535733200519,1.4579127333700095
Nitrosopumilus sp. strain_120,0.16271644973156166,0.4404396516949094,2.550073559174282,1.3829283383289512
Sphingomonas sp. strain_100,0.24204195229701836,0.6409402285866475,2.5429902551751886,1.3688611867901839
Synechococcus sp. strain_064,0.3460645273445612,0.8272730741279332,2.3233796421607216,1.2335595147558325
Aurantivirga sp. strain_050,0.14576070122119128,0.3070923218029358,1.9715648388539468,1.0255716598110676
Acinetobacter sp. strain_027,0.2018242383364297,0.4123932878534064,1.946865434721512,0.9957192278449093
Ruegeria sp. strain_026,0.13317311326009174,0.2636288294964074,1.8413291678409822,0.9344596486794482
Planctomyces sp. strain_079,0.09271001536903434,0.18440560754766316,1.7954004474159482,0.9204929661428497
Rhodobacter sp. strain_017,0.9513961288583404,1.6587912403851026,1.7253982937864751,0.7956005907035252
Alteromonas sp. strain_001,0.3685386544117539,0.6454368473333055,1.7050751351570934,0.7920161522589657
Ruegeria sp. strain_080,0.31604396885079156,0.5540530542719371,1.699320052521781,0.7907643344112331
Prochlorococcus sp. strain_092,0.041878683506203794,0.08745134141313345,1.6856892947693203,0.909540174589672
Cytophaga sp. strain_105,0.2711002705358796,0.38145051397813073,1.3569909173368884,0.4777450955882457
Vibrio sp. strain_110,0.06285795522818996,0.08723784255402361,1.1973688018116357,0.4164313780530605
Ruegeria sp. strain_053,0.7509702646705252,0.8623665001929828,1.1332459890089908,0.19709428927705966
Shewanella sp. strain_061,0.2619120252832068,0.30284749662929633,1.1137701479508642,0.2023196039757602
Marinobacter sp. strain_089,0.41501474898970736,0.4604640597282086,1.0834072483902428,0.14657160806460193
Roseobacter sp. strain_004,0.16754156042898033,0.1886876349521528,1.0627800865118062,0.16234530886779805
Loktanella sp. strain_101,0.14651809904669427,0.16474685378878323,1.052573822402699,0.15893698743588378
Prochlorococcus sp. strain_119,0.13207796040779873,0.14784880645509735,1.0406174612215353,0.15186057559577354
Nitrospina sp. strain_013,0.8002854095596234,0.8367868415341324,1.0327062929454847,0.0635686882144936
Synechococcus sp. strain_037,0.6800155404888872,0.6902273492578004,1.0003069623167662,0.021194556643911813
Planctomyces sp. strain_106,0.07568760415387885,0.07797513442896417,0.9099931687777788,0.03800929896438095
Pseudomonas sp. strain_060,0.5364376850982664,0.49238710521529405,0.9010855558520778,-0.12125754757564648
SAR86 sp. strain_041,0.5368372630640976,0.49065048194846345,0.8972513672517445,-0.12730778646178992
Winogradskyella sp. strain_021,0.1244750770748464,0.11995434384469458,0.8920191492281514,-0.049333957774875856
Shewanella sp. strain_115,0.20333457747337375,0.1851037927813569,0.8676689684983658,-0.12887599408728045
Loktanella sp. strain_047,0.044154571507117796,0.042166750537699485,0.7786369527853674,-0.053952558563293174
SAR11 sp. strain_069,0.5591558736954001,0.43413028552148125,0.7627616714253895,-0.35784086200637716
Acinetobacter sp. strain_054,0.5728149938931253,0.44415873351923657,0.7620921530386793,-0.35984137004119304
Nitrospina sp. strain_040,0.1332591370845655,0.10265492956687577,0.7165681132525518,-0.3467167126117293
Pelagibacter sp. strain_030,0.3696215611082346,0.27067371481266655,0.713009329666326,-0.4356679731543339
SAR116 sp. strain_070,0.16575197918305817,0.12370697451223978,0.703872440511126,-0.3944662136931703
Planctomyces sp. strain_052,0.9484447009144998,0.664449520061905,0.6932580663526239,-0.506984728497832
Marinobacter sp. strain_062,0.903559097433493,0.5559266846676414,0.6085284315261419,-0.6908828934839629
Ruegeria sp. strain_107,0.19737460701068854,0.12009267476940279,0.5791098365443217,-0.6726995177983293
Winogradskyella sp. strain_048,0.41167563611922003,0.2398132256281385,0.5687149199209041,-0.7552838087214667
Aurantivirga sp. strain_077,0.053528950454565676,0.03414654315826566,0.5374957859989583,-0.5251137111382496
Pelagibacter sp. strain_111,1.7543358836446035,0.8697087764035794,0.49293832567017487,-1.0040273283840215
Bacteroides sp. strain_099,0.3038494112686418,0.1520998413305639,0.48462681741458763,-0.9531898239662573
Flavobacterium sp. strain_032,0.9359094749532593,0.4261869417859697,0.4505578525968662,-1.1167555415717492
SAR86 sp. strain_014,0.30025577096007733,0.13805990887049696,0.44498740005149506,-1.067276999942705
Winogradskyella sp. strain_102,0.562969802084419,0.25306759804274126,0.4416770257736119,-1.1230255417662673
Loktanella sp. strain_074,0.7551095745527787,0.3149512166910903,0.4116419754323233,-1.2354432272419833
SAR116 sp. strain_043,1.3222493312263093,0.5395474965190256,0.4049898798015404,-1.277548027360608
Alteromonas sp. strain_055,1.1135604342969785,0.44849633938862177,0.3991742016701129,-1.293095606003574
Sphingomonas sp. strain_019,1.0306385455535418,0.39039090696203205,0.3751455379296692,-1.3779879357836882
Cytophaga sp. strain_024,0.15819608274835958,0.059541930796527455,0.3540030767875191,-1.2741890774859108
Flavobacterium sp. strain_059,0.1484153790814129,0.054637470767263156,0.3449000411707745,-1.2932697477583783
Marinobacter sp. strain_116,0.06226133726701334,0.024762174318346496,0.3426752846663718,-1.055705630266496
Vibrio sp. strain_056,0.2503603908250869,0.08834829908148314,0.3393307975975368,-1.4045379783139498
Roseobacter sp. strain_085,1.6870823191081223,0.5460605152786792,0.3217643063806437,-1.6097427432473814
Roseobacter sp. strain_058,0.7291259458437321,0.21065883038643185,0.2850107367641642,-1.744002735536768
Loktanella sp. strain_020,0.8054109266281142,0.22544183724478575,0.27647635061383397,-1.7921565839360456
Candidatus_Actinomarina sp. strain_063,0.20885488003685737,0.05285958862937799,0.24152803273327011,-1.7997698177376569
Shewanella sp. strain_034,0.5614410896026296,0.1287989987509705,0.225393310166994,-2.0416076164822794
Pelagibacter sp. strain_057,0.7389497135115973,0.16612569009670014,0.2218115410149332,-2.088263496207195
Alteromonas sp. strain_028,0.2957262743435544,0.06698721500538526,0.2191084660591179,-1.989549756292045
Nitrospina sp. strain_094,0.8228454496683497,0.1541598325708355,0.1851001679029693,-2.3429476362610844
Candidatus_Actinomarina sp. strain_117,1.7321528332584477,0.31710136003618705,0.18201695854840377,-2.4130615292678446
Prochlorococcus sp. strain_065,0.5337545573383733,0.09576397657600452,0.1761161819861521,-2.3621072612031897
Candidatus_Actinomarina sp. strain_009,0.8667729145785288,0.14984524582592385,0.17090542298282055,-2.455527395392337
Polaribacter sp. strain_049,0.6663928337102538,0.1125025986663143,0.16632730723830674,-2.465049021009383
Pelagibacter sp. strain_003,1.344187375427118,0.20917182740096635,0.1544629873210806,-2.627293105082935
Synechococcus sp. strain_091,4.01094244777982,0.5926371786719236,0.14738763023060691,-2.738172101424748
Nitrosopumilus sp. strain_012,0.3150702689177693,0.04514815634993592,0.1388873750289256,-2.5593670512781515
Marinobacter sp. strain_035,0.8364755162295502,0.11604434514592002,0.13709120101053307,-2.747536945108846
Pelagibacter sp. strain_084,2.4445389348942075,0.33379390771983397,0.1359904717641893,-2.835836166959568
Bacteroides sp. strain_072,0.731250919644981,0.09902162702392057,0.13358718943828976,-2.7653476334118836
Candidatus_Actinomarina sp. strain_090,2.1771336232210317,0.2521834809357847,0.11530318872990919,-3.060392669257793
SAR11 sp. strain_042,1.6662521131761396,0.1887978590266896,0.11263094467869633,-3.0758650260232674
Polaribacter sp. strain_076,3.0348731237731155,0.3005976188872068,0.09872254332709775,-3.2932634391563522
Nitrosopumilus sp. strain_066,0.4325782453298377,0.04006459254408901,0.09052544486055863,-3.1440699940109367
Cytophaga sp. strain_051,1.8655118996860809,0.16191504658267403,0.08633112197783177,-3.4475166916188646
Polaribacter sp. strain_103,1.5665753363582349,0.1169149618383395,0.07415754841655958,-3.6348600488386063
Synechococcus sp. strain_118,7.722767765803007,0.5307147452840835,0.06863192602667947,-3.8380452816436708
Rhodobacter sp. strain_071,1.3023897615466993,0.07403671481270443,0.0564136638230471,-3.9650326689070385
Vibrio sp. strain_002,1.8084245492247901,0.10103155218426418,0.055559936334633624,-4.033647451050766
Winogradskyella sp. strain_075,1.3997092684382806,0.06517608202536924,0.046233704696836755,-4.228980120723209
Vibrio sp. strain_029,0.20650416665091503,0.0074958386095732715,0.034622144809154376,-3.6293110675463103
Alteromonas sp. strain_082,1.3972010588437125,0.04514465329696257,0.03208116779990034,-4.673463651156322
Nitrospina sp. strain_067,2.5391717607076805,0.08051020343500095,0.03158288691094333,-4.815804333916204
SAR86 sp. strain_095,2.353741490278397,0.07202638764751551,0.030471347202621717,-4.848840358955715
Prochlorococcus sp. strain_011,2.3177978509442587,0.016144110279298345,0.006935357497967263,-6.476335993821283
Flavobacterium sp. strain_113,15.537033091014392,0.10071484157061249,0.006478074689943378,-7.13364684897073
Aurantivirga sp. strain_104,1.1073181584999925,0.0044898371229600675,0.004018405222186406,-6.268854866319632
Acinetobacter sp. strain_108,5.265950058120281,0.015307643418951203,0.0029014003639763453,-7.703713924206246
